cell_id	quantity	value	source
c0036	ms_within	16.660404504488785	praat
c0036	posthoc_alto__mezzo_cohens_d	-0.5859358150444196	praat
c0036	posthoc_alto__soprano_cohens_d	-2.0839749765563775	praat
c0036	posthoc_mezzo__soprano_cohens_d	-1.7838798367260675	praat
c0037	f	18.060297415058738	praat
c0037	df_between	2	praat
c0037	df_within	42	praat
c0037	p	2.1885613623027198e-06	praat
c0037	eta_squared	0.46236968508324866	praat
c0037	n	45	praat
c0037	ss_between	601.7837208125036	praat
c0037	ss_within	699.736989188529	praat
c0037	ss_total	1301.5207100010325	praat
c0037	ms_between	300.8918604062518	praat
c0037	ms_within	16.66040450448879	praat
c0037	posthoc_soprano__mezzo_padj	0.0005832285208634547	praat
c0037	posthoc_soprano__mezzo_diff	6.06695930108711	praat
c0037	posthoc_soprano__mezzo_q	5.756704543022689	praat
c0037	posthoc_soprano__mezzo_cohens_d	1.7838798367260675	praat
c0037	posthoc_soprano__mezzo_ci_low	2.4459642895262697	praat
c0037	posthoc_soprano__mezzo_ci_high	9.68795431264795	praat
c0037	posthoc_soprano__alto_padj	1.84250878443315e-06	praat
c0037	posthoc_soprano__alto_diff	8.740701015662026	praat
c0037	posthoc_soprano__alto_q	8.293715310905158	praat
c0037	posthoc_soprano__alto_cohens_d	2.0839749765563775	praat
c0037	posthoc_soprano__alto_ci_low	5.119706004101186	praat
c0037	posthoc_soprano__alto_ci_high	12.361696027222866	praat
c0037	posthoc_mezzo__alto_padj	0.18396791693969028	praat
c0037	posthoc_mezzo__alto_diff	2.6737417145749163	praat
c0037	posthoc_mezzo__alto_q	2.537010767882469	praat
c0037	posthoc_mezzo__alto_cohens_d	0.5859358150444196	praat
c0037	posthoc_mezzo__alto_ci_low	-0.9472532969859238	praat
c0037	posthoc_mezzo__alto_ci_high	6.294736726135756	praat
c0038	f	18.060297415058745	praat
c0038	df_between	2	praat
c0038	df_within	42	praat
c0038	p	2.188561362302704e-06	praat
c0038	eta_squared	0.4623696850832487	praat
c0038	n	45	praat
c0038	ss_between	601.7837208125037	praat
c0038	ss_within	699.7369891885289	praat
c0038	ss_total	1301.5207100010325	praat
c0038	ms_between	300.89186040625185	praat
c0038	ms_within	16.660404504488785	praat
c0038	posthoc_alto__mezzo_padj	0.18396791693969028	praat
c0038	posthoc_alto__mezzo_diff	-2.6737417145749163	praat
c0038	posthoc_alto__mezzo_q	2.537010767882469	praat
c0038	posthoc_alto__mezzo_cohens_d	-0.5859358150444196	praat
c0038	posthoc_alto__mezzo_ci_low	-6.294736726135756	praat
c0038	posthoc_alto__mezzo_ci_high	0.9472532969859238	praat
c0038	posthoc_alto__soprano_padj	1.84250878443315e-06	praat
