k	df	p_target	oracle_source	v154_pass	arbiter_p	port_p	r_p	scipy_p	port_relerr_vs_arbiter	r_relerr_vs_arbiter	scipy_relerr_vs_arbiter	verdict
5	45	1e-04	R	TRUE	0.000100000000002205	0.000100000000002205	0.000100000000080924	9.9999999999989e-05	3.38813178894248e-15	7.87186613618999e-10	2.2163531860003e-11	PORT_CLOSER
5	200	0.1	R	TRUE	0.0999999999999641	0.100000000000015	0.100000000015808	0.0999999999999996	5.08759701034661e-13	1.58438817621288e-10	3.55271367880178e-13	PORT_CLOSER
5	200	1e-04	R	TRUE	9.99999999604268e-05	9.99999999604345e-05	0.000100000000023415	9.9999999999989e-05	7.67073037337049e-14	6.29881753558775e-10	3.95621578188917e-10	PORT_CLOSER
6	3	0.1	R	TRUE	0.1	0.0999999999996487	0.100000000005393	0.1	3.51427220657285e-12	5.39286670875327e-11	4.16333634234433e-16	PORT_CLOSER
6	3	1e-04	grid	TRUE	0.000100000000000104	9.9999999999801e-05	0.000100000000000104	9.9999999999989e-05	3.02790561720575e-12	2.03287907340821e-15	1.1480345753894e-12	R_CLOSER
6	10	0.1	R	TRUE	0.100000000000001	0.0999999999999743	0.100000000009358	0.1	2.68951527715441e-13	9.35680699587482e-11	1.22124532708766e-14	PORT_CLOSER
6	10	1e-04	grid	TRUE	0.000100000000001687	0.000100000000001027	0.000100000000001687	9.9999999999989e-05	6.59926757326482e-12	6.77626357792009e-16	1.69794191724659e-11	R_CLOSER
6	45	0.1	R	TRUE	0.0999999999999985	0.100000000000075	0.100000000015973	0.0999999999999996	7.65359997600979e-13	1.5974541134334e-10	1.17961196366425e-14	PORT_CLOSER
6	45	1e-04	R	TRUE	9.9999999998594e-05	9.99999999985945e-05	9.99999997290946e-05	9.9999999999989e-05	5.28548559094115e-15	2.6949937507699e-09	1.3950158303024e-11	PORT_CLOSER
6	200	0.1	R	TRUE	0.0999999999999228	0.0999999999998661	0.100000000026373	0.0999999999999998	5.67462743461971e-13	2.64501615055073e-10	7.69107000309671e-13	PORT_CLOSER
6	200	1e-04	R	TRUE	9.9999999914526e-05	9.99999999145315e-05	9.99999999774515e-05	9.9999999999989e-05	5.46166844856403e-14	6.29254678415848e-10	8.54629546031577e-10	PORT_CLOSER
